Wavelength Filter
11000.0 -9.120607746068077e-05
10995.0 -7.40733820818931e-05
10990.0 -7.019059799604403e-05
10985.0 -4.4431245987133395e-05
10980.0 -9.690332438017194e-05
10975.0 -4.763083824654719e-05
10970.0 -7.41021908466729e-05
10965.0 -0.00014301935611732406
10960.0 -4.455610488013157e-05
10955.0 -3.684787819582179e-05
10950.0 -3.655336629385685e-05
10945.0 -5.7839316896818234e-05
10940.0 -8.901036274644882e-05
10935.0 -9.674639440582481e-05
10930.0 -8.061056259159537e-05
10925.0 -9.156701514694198e-05
10920.0 -7.75125789459389e-05
10915.0 -8.024499492528025e-05
10910.0 -7.177373749019118e-05
10905.0 -6.76732439628376e-05
10900.0 -7.222668505107359e-05
10895.0 -0.00012227136151661408
10890.0 -8.079621349912234e-05
10885.0 -7.167866605694355e-05
10880.0 -8.607889526690417e-05
10875.0 -5.6346041676779506e-05
10870.0 -4.890657968828129e-05
10865.0 -9.936809237975809e-05
10860.0 -0.00010351221311753822
10855.0 -6.114448273935802e-05
10850.0 -3.286341021198687e-05
10845.0 -9.051169337893904e-05
10840.0 -5.486599138621723e-05
10835.0 -5.028843425011242e-05
10830.0 -5.410951036331905e-05
10825.0 -6.086934397886521e-05
10820.0 -7.213547820822326e-05
10815.0 -7.027150344695873e-05
10810.0 -8.369343920206243e-05
10805.0 -6.61843603227958e-05
10800.0 -0.00011323290015649412
10795.0 -9.832270812991961e-05
10790.0 -5.5116223614441775e-05
10785.0 -6.954706841066666e-05
10780.0 -5.178335317580714e-05
10775.0 -9.258621303262738e-05
10770.0 -8.115115354184491e-05
10765.0 -7.520326033087233e-05
10760.0 -9.165350417813847e-05
10755.0 -3.3811778186007656e-05
10750.0 -4.248920148089503e-05
10745.0 -5.398382334380717e-05
10740.0 -5.192510083073633e-05
10735.0 -7.592945199916318e-05
10730.0 -7.758524077383081e-05
10725.0 -4.174333553421799e-05
10720.0 -3.832316048524456e-05
10715.0 -6.761931536047541e-05
10710.0 -0.0001140338616110754
10705.0 -8.086863692695727e-05
10700.0 -3.614540105951432e-05
10695.0 -5.766328982317022e-05
10690.0 -9.134094915607191e-05
10685.0 -7.431534559235201e-05
10680.0 -0.00010239715331420572
10675.0 -0.00011439279171790944
10670.0 -0.00014124569733553908
10665.0 -9.790480537741262e-05
10660.0 -4.443470906164525e-05
