Wavelength Filter
4000 1.2179894410914172e-18
4010 2.443762604727126e-17
4020 4.3785140925232946e-16
4030 7.0056225480215944e-15
4040 1.0009651628895179e-13
4050 1.2771544961675925e-12
4060 1.455191522865968e-11
4070 1.4806387841223712e-10
4080 1.3453346623388425e-09
4090 1.0916006564294233e-08
4100 7.909508371620506e-08
4110 5.117848640522056e-07
4120 2.957179117200138e-06
4130 1.5258789062636454e-05
4140 7.030962048165146e-05
4150 0.0002893088264469147
4160 0.0010630675440974164
4170 0.0034882875689859357
4180 0.010221530927756715
4190 0.026746801793694666
4200 0.06250000000013972
4210 0.1304188663710916
4220 0.24302618535750967
4230 0.4044063486689369
4240 0.6009455246125738
4250 0.7974518891369596
4260 0.9449876283086498
4270 1.0
4280 0.9449876283086498
4290 0.7974518891369596
4300 0.6009455246125738
4310 0.4044063486689369
4320 0.24302618535750967
4330 0.1304188663710916
4340 0.06250000000013972
4350 0.026746801793694666
4360 0.010221530927756715
4370 0.0034882875689859357
4380 0.0010630675440974164
4390 0.0002893088264469147
4400 7.030962048165146e-05
4410 1.5258789062636454e-05
4420 2.957179117200138e-06
4430 5.117848640522056e-07
4440 7.909508371620506e-08
4450 1.0916006564294233e-08
4460 1.3453346623388425e-09
4470 1.4806387841223712e-10
4480 1.455191522865968e-11
4490 1.2771544961675925e-12
4500 1.0009651628895179e-13
4510 7.0056225480215944e-15
4520 4.3785140925232946e-16
4530 2.443762604727126e-17
4540 1.2179894410914172e-18
4550 5.421010862621433e-20
4560 2.1546130070814406e-21
4570 7.647342172117141e-23
4580 2.4238403649982073e-24
4590 6.86040492807266e-26
4600 1.7339945670990304e-27
4610 3.91379397391767e-29
4620 7.888609052651009e-31
4630 1.419891478060897e-32
4640 2.282244227320983e-34
4650 3.2758297859312014e-36
4660 4.198873427612078e-38
4670 4.806140745266395e-40
4680 4.9126116270892066e-42
4690 4.4841550862003525e-44
4700 3.655115143598262e-46
4710 2.6605642215772488e-48
4720 1.7294128277738336e-50
4730 1.0038662443917083e-52
4740 5.2036163757227785e-55
4750 2.40872343509911e-57
4760 9.95682444566851e-60
4770 3.6754202806406726e-62
4780 1.211561350109024e-64
4790 3.566449338232182e-67
4800 9.375165725318735e-70
4810 2.2007671426393754e-72
4820 4.613403905633042e-75
4830 8.636168556330115e-78
4840 1.4436868039600942e-80
4850 2.155148046788075e-83
4860 2.8729857844401166e-86
4870 3.420125878502796e-89
4880 3.63582481816398e-92
4890 3.451564985119152e-95
4900 2.9260477222125196e-98
4910 2.2151288883249143e-101
4920 1.4975069357228002e-104
4930 9.04046834168146e-108
4940 4.873772604888266e-111
4950 2.3463448431509418e-114
4960 1.0087200770569756e-117
4970 3.872591915715069e-121
4980 1.3276544324458272e-124
4990 4.064626184211853e-128
5000 1.1112414103075757e-131
5010 2.7129917244020205e-135
5020 5.914809566884072e-139
5030 1.1515566560128428e-142
5040 2.0020830957247148e-146
5050 3.108358723241356e-150
5060 4.309554856888107e-154
5070 5.335632865073108e-158
5080 5.899180846870723e-162
5090 5.824380337980169e-166
5100 5.135231061366911e-170
5110 4.043174613253965e-174
5120 2.8427407259892207e-178
5130 1.7848603858809253e-182
5140 1.0007451536472915e-186
5150 5.010660595072716e-191
5160 2.2403647056649492e-195
5170 8.9452957533246e-200
5180 3.189502385556307e-204
5190 1.015554896032548e-208
5200 2.8875939472115198e-213
5210 7.331976882172805e-218
5220 1.6624871482982017e-222
5230 3.3662607403820103e-227
5240 6.086805901977404e-232
5250 9.828413043852879e-237
5260 1.4171949359789434e-241
5270 1.8248536040027594e-246
5280 2.098353786872289e-251
5290 2.1546743514926122e-256
5300 1.9757719551675385e-261
5310 1.617872290354014e-266
5320 1.183052186761824e-271
5330 7.725308191193302e-277
5340 4.504846228780515e-282
5350 2.3458291233536913e-287
5360 1.090849964838753e-292
5370 4.529871848066697e-298
5380 1.679805718084566e-303
5390 5.56268464945166e-309
5400 1.644985488e-314
5410 4.344e-320
5420 0.0
5430 0.0
5440 0.0
5450 0.0
5460 0.0
5470 0.0
5480 0.0
5490 0.0
5500 0.0
5510 0.0
5520 0.0
5530 0.0
5540 0.0
5550 0.0
5560 0.0
5570 0.0
5580 0.0
5590 0.0
5600 0.0
5610 0.0
5620 0.0
5630 0.0
5640 0.0
5650 0.0
5660 0.0
5670 0.0
5680 0.0
5690 0.0
5700 0.0
5710 0.0
5720 0.0
5730 0.0
5740 0.0
5750 0.0
5760 0.0
5770 0.0
5780 0.0
5790 0.0
5800 0.0
5810 0.0
5820 0.0
5830 0.0
5840 0.0
5850 0.0
5860 0.0
5870 0.0
5880 0.0
5890 0.0
5900 0.0
5910 0.0
5920 0.0
5930 0.0
5940 0.0
5950 0.0
5960 0.0
5970 0.0
5980 0.0
5990 0.0
6000 0.0
6010 0.0
6020 0.0
6030 0.0
6040 0.0
6050 0.0
6060 0.0
6070 0.0
6080 0.0
6090 0.0
6100 0.0
6110 0.0
6120 0.0
6130 0.0
6140 0.0
6150 0.0
6160 0.0
6170 0.0
6180 0.0
6190 0.0
