Wavelength Filter
11000.0 -8.10832385718474e-05
10995.0 -0.00010142369418747848
10990.0 -7.830734473169715e-05
10985.0 -0.00011682368475772494
10980.0 -7.436646260303123e-05
10975.0 -0.00010778995231749951
10970.0 -9.610714699094796e-05
10965.0 -6.477755139477574e-05
10960.0 -8.300704154462684e-05
10955.0 -9.898520046021546e-05
10950.0 -0.00010901428153726187
10945.0 -9.696792606375733e-05
10940.0 -7.14344007106303e-05
10935.0 -9.608580475595916e-05
10930.0 -0.00015235061097342885
10925.0 -6.455209734465983e-05
10920.0 -4.4184979188462446e-05
10915.0 -0.00013067672326608876
10910.0 -9.128593732723593e-05
10905.0 -4.983067758372789e-05
10900.0 -7.567245119188728e-05
10895.0 -0.00011656413682278419
10890.0 -0.00012529585650373443
10885.0 -8.103796716429545e-05
10880.0 -8.507031950078065e-05
10875.0 -7.281914446507675e-05
10870.0 -0.00013178856951150773
10865.0 -0.00011020300375776905
10860.0 -8.835310667508412e-05
10855.0 -8.271447354800534e-05
10850.0 -0.00011207702038477704
10845.0 -0.00010460075859223205
10840.0 -7.633675723693544e-05
10835.0 -9.724310544696601e-05
10830.0 -0.00013728332253981423
10825.0 -0.0001055131665937078
10820.0 -7.339478688552314e-05
10815.0 -0.0001317838471301809
10810.0 -9.957941514004032e-05
10805.0 -0.00010283654038170718
10800.0 -0.00011627624239734664
10795.0 -0.00013044256880799862
10790.0 -9.286887466698128e-05
10785.0 -8.542884220301356e-05
10780.0 -0.00010316675320105046
10775.0 -6.250642764756195e-05
10770.0 -0.00010154914845730103
10765.0 -7.235370314479254e-05
10760.0 -0.00011512716621542066
10755.0 -0.00010504025732155788
10750.0 -6.158738146665e-05
10745.0 -8.020090982094188e-05
10740.0 -7.57579421571997e-05
10735.0 -9.687795676783262e-05
10730.0 -0.00010060034029174779
10725.0 -0.00010751384554157548
10720.0 -7.960967255983472e-05
10715.0 -0.00010882575236025977
10710.0 -0.00012570674028677744
10705.0 -0.0001038236279018401
10700.0 -6.838270515794919e-05
10695.0 -7.117739090312102e-05
10690.0 -0.00010910133442714749
10685.0 -8.216621361773323e-05
10680.0 -7.999811587967341e-05
10675.0 -9.070108199231467e-05
10670.0 -7.167485167715627e-05
10665.0 -7.621291370182902e-05
10660.0 -6.25650608317364e-05
10655.0 -8.410115750563259e-05
10650.0 -0.0001360258390304781
10645.0 -6.0370215135360156e-05
10640.0 -7.290667325385578e-05
10635.0 -0.00011768242600706769
10630.0 -9.540697769339434e-05
10625.0 -6.494133382932086e-05
10620.0 -0.00011987581960169225
10615.0 -8.107642955691103e-05
10610.0 -7.770050042739351e-05
10605.0 -0.00010743238141305341
10600.0 -8.003208773914097e-05
10595.0 -9.60791787790587e-05
10590.0 -7.705965985855085e-05
10585.0 -0.00010576913918568016
10580.0 -8.78780009465031e-05
10575.0 -9.94132654135639e-05
10570.0 -8.16058243669472e-05
10565.0 -7.875561708421164e-05
10560.0 -7.481039085282645e-05
10555.0 -0.00011166912622298748
10550.0 -0.00010485352191730785
10545.0 -7.886999145159291e-05
10540.0 -3.66618230511136e-05
10535.0 -5.748163087775913e-05
10530.0 -6.232429259928148e-05
10525.0 -0.00012052521414808044
10520.0 -9.036255924614042e-05
10515.0 -9.850156515916037e-05
10510.0 -0.00010094021751938787
10505.0 -4.0470185641770284e-05
10500.0 -8.823081286201518e-05
10495.0 -0.00010246913423346406
10490.0 -5.6244513400553535e-05
10485.0 -0.00010364231042345342
10480.0 -7.761724252611938e-05
10475.0 -7.38844990493709e-05
10470.0 -5.7796749160406515e-05
10465.0 -7.103006968927337e-05
10460.0 -3.6684788223354245e-05
10455.0 -5.654071775282207e-05
10450.0 -0.00012852181646915125
10445.0 -9.33517046006783e-05
10440.0 -6.125456950719658e-05
10435.0 -5.7671392510869785e-05
10430.0 -4.959094656680989e-05
10425.0 -4.823440287243152e-05
10420.0 -5.4935913469051616e-05
10415.0 -5.6431566070732513e-05
10410.0 -0.00011523850215140559
10405.0 -4.59205214400258e-05
10400.0 -4.317338897658713e-05
10395.0 -7.610903351517407e-05
10390.0 -8.988790501138136e-05
10385.0 -7.999292980198889e-05
10380.0 -4.384242960549786e-05
10375.0 -6.368084849619559e-05
10370.0 -8.304051310012954e-05
10365.0 -6.830108239646265e-05
10360.0 -7.261292161126863e-05
10355.0 -0.00012099349865918934
10350.0 -4.1813831255883863e-05
10345.0 -8.766180862100498e-05
10340.0 -0.00011392149467278686
10335.0 -5.45293859912636e-05
10330.0 -8.357616781099434e-05
10325.0 -0.00010275868820376068
10320.0 -4.372280814775342e-05
10315.0 -6.195073637303132e-05
10310.0 -5.6879057460960396e-05
