Wavelength Filter
4000 0.0
4010 0.0
4020 0.0
4030 0.0
4040 0.0
4050 0.0
4060 0.0
4070 0.0
4080 0.0
4090 0.0
4100 0.0
4110 0.0
4120 0.0
4130 0.0
4140 0.0
4150 0.0
4160 0.0
4170 0.0
4180 0.0
4190 0.0
4200 0.0
4210 0.0
4220 0.0
4230 0.0
4240 0.0
4250 0.0
4260 0.0
4270 0.0
4280 0.0
4290 0.0
4300 0.0
4310 0.0
4320 0.0
4330 0.0
4340 0.0
4350 0.0
4360 0.0
4370 1.195e-320
4380 9.7893026e-317
4390 7.5868115381e-313
4400 5.562684649452924e-309
4410 3.858577122133414e-305
4420 2.5321389284356327e-301
4430 1.572046816259628e-297
4440 9.233386628244418e-294
4450 5.130671004380031e-290
4460 2.6971488415132836e-286
4470 1.3413844278455247e-282
4480 6.31130556692179e-279
4490 2.809329986593813e-275
4500 1.183052186762093e-271
4510 4.7132735999731323e-268
4520 1.7764745874156404e-264
4530 6.334508862446178e-261
4540 2.136901467290972e-257
4550 6.819831535725607e-254
4560 2.0591140249940975e-250
4570 5.881725429013665e-247
4580 1.5894493660217945e-243
4590 4.0635559926265345e-240
4600 9.828413043855113e-237
4610 2.2489414618094993e-233
4620 4.868447636038586e-230
4630 9.97058075854545e-227
4640 1.931826005782477e-223
4650 3.541058985647002e-220
4660 6.140672198405562e-217
4670 1.007433221379133e-213
4680 1.5636308206471403e-210
4690 2.295988860122169e-207
4700 3.189502385556851e-204
4710 4.191733721025131e-201
4720 5.211731600164535e-198
4730 6.13038849613886e-195
4740 6.821997465134222e-192
4750 7.182120877340492e-189
4760 7.153382813920744e-186
4770 6.740433434138445e-183
4780 6.0087174378668754e-180
4790 5.06749512406978e-177
4800 4.043174613254425e-174
4810 3.051892670679967e-171
4820 2.1793832820683112e-168
4830 1.4723653024154348e-165
4840 9.41055276102825e-163
4850 5.69026240036494e-160
4860 3.2551203799813337e-157
4870 1.7616491345007473e-154
4880 9.019643568598348e-152
4890 4.368948617610072e-149
4900 2.0020830957249424e-146
4910 8.679702918436073e-144
4920 3.5599608598282937e-141
4930 1.381348262744172e-138
4940 5.070826472166443e-136
4950 1.7610509147762726e-133
4960 5.786056578406849e-131
4970 1.7985024763621093e-128
4980 5.288798300276986e-126
4990 1.4713655024009187e-123
5000 3.872591915715509e-121
5010 9.642740956448345e-119
5020 2.2715215734424667e-116
5030 5.062334426344873e-114
5040 1.0673390489405604e-111
5050 2.1289799204338314e-109
5060 4.0175226379688196e-107
5070 7.172370244739686e-105
5080 1.2113919074415559e-102
5090 1.9356384316739696e-100
5100 2.926047722212686e-98
5110 4.184621421312843e-96
5120 5.661722029094117e-94
5130 7.24700419721214e-92
5140 8.775787182846155e-90
5150 1.0053823418554228e-87
5160 1.0896675649215139e-85
5170 1.1173118244374883e-83
5180 1.0838579470410504e-81
5190 9.946904264047995e-80
5200 8.636168556330606e-78
5210 7.093684723759177e-76
5220 5.512394049964454e-74
5230 4.052529905451324e-72
5240 2.8185763389876627e-70
5250 1.8546030755770223e-68
5260 1.1544888684416287e-66
5270 6.799016956930352e-65
5280 3.7880883466856766e-63
5290 1.9966947423592878e-61
5300 9.956824445669076e-60
5310 4.69729273029626e-58
5320 2.0964861710574253e-56
5330 8.852256280089187e-55
5340 3.5361734211547323e-53
5350 1.3363823551723856e-51
5360 4.77799301432467e-50
5370 1.616135940416967e-48
5380 5.171635009319865e-47
5390 1.565652750920758e-45
5400 4.48415508620048e-44
5410 1.215019935723755e-42
5420 3.1146107877651863e-41
5430 7.553387470776925e-40
5440 1.7329951366384216e-38
5450 3.761581922885827e-37
5460 7.72433864899899e-36
5470 1.5006163956683154e-34
5480 2.7580089362907767e-33
5490 4.795559139549881e-32
5500 7.888609052651233e-31
5510 1.2276631397192923e-29
5520 1.8074887364713567e-28
5530 2.5176165402931105e-27
5540 3.317578188008578e-26
5550 4.135903062952446e-25
5560 4.877947657118908e-24
5570 5.442789279633744e-23
5580 5.745442808906373e-22
5590 5.737769420249288e-21
5600 5.42101086262151e-20
5610 4.845460569716883e-19
5620 4.0973913896085835e-18
5630 3.2779131116813885e-17
5640 2.4808758116825527e-16
5650 1.776356839448922e-15
5660 1.2032974615073347e-14
5670 7.711402801537085e-14
5680 4.675320390922998e-13
5690 2.6816800842839945e-12
5700 1.4551915228659784e-11
5710 7.47052194543091e-11
5720 3.6282678119566327e-10
5730 1.6671141068312642e-09
5740 7.2468440788015035e-09
5750 2.9802322388111934e-08
5760 1.1594950526056479e-07
5770 4.2678121134689426e-07
5780 1.4861384957674674e-06
5790 4.895881262113812e-06
5800 1.5258789062636508e-05
5810 4.4991126016326995e-05
5820 0.00012550217610638622
5830 0.0003312022283829202
5840 0.0008268997191087651
5850 0.001953125000009829
5860 0.004364402883113739
5870 0.009226505167453079
5880 0.018453010334895843
5890 0.034915223064851356
5900 0.06250000000013978
5910 0.10584316404550762
5920 0.16957554093120172
