Wavelength Filter
4480.00 0.001674 
4485.00 0.002023 
4490.00 0.002302 
4495.00 0.002651 
4500.00 0.003069 
4505.00 0.003488 
4510.00 0.004046 
4515.00 0.004813 
4520.00 0.005511 
4525.00 0.006557 
4530.00 0.007743 
4535.00 0.009277 
4540.00 0.010951 
4545.00 0.013184 
4550.00 0.015765 
4555.00 0.019182 
4560.00 0.023158 
4565.00 0.028460 
4570.00 0.034877 
4575.00 0.043108 
4580.00 0.053641 
4585.00 0.067174 
4590.00 0.084612 
4595.00 0.107213 
4600.00 0.136370 
4605.00 0.173340 
4610.00 0.220006 
4615.00 0.276855 
4620.00 0.346959 
4625.00 0.429199 
4630.00 0.519531 
4635.00 0.613142 
4640.00 0.701800 
4645.00 0.779297 
4650.00 0.839565 
4655.00 0.879185 
4660.00 0.904018 
4665.00 0.918457 
4670.00 0.924874 
4675.00 0.929478 
4680.00 0.931501 
4685.00 0.935338 
4690.00 0.940011 
4695.00 0.947335 
4700.00 0.955845 
4705.00 0.963867 
4710.00 0.972935 
4715.00 0.980190 
4720.00 0.988211 
4725.00 0.995187 
4730.00 0.998117 
4735.00 1.000000 
4740.00 0.998465 
4745.00 0.996233 
4750.00 0.991490 
4755.00 0.987095 
4760.00 0.983050 
4765.00 0.977190 
4770.00 0.971819 
4775.00 0.963728 
4780.00 0.951311 
4785.00 0.936035 
4790.00 0.911412 
4795.00 0.877023 
4800.00 0.827706 
4805.00 0.768555 
4810.00 0.697196 
4815.00 0.617885 
4820.00 0.537946 
4825.00 0.457450 
4830.00 0.383929 
4835.00 0.318499 
4840.00 0.262765 
4845.00 0.215751 
4850.00 0.176549 
4855.00 0.145647 
4860.00 0.119908 
4865.00 0.099330 
4870.00 0.082241 
4875.00 0.068778 
4880.00 0.057687 
4885.00 0.048689 
4890.00 0.041225 
4895.00 0.035086 
4900.00 0.029855 
4905.00 0.025809 
4910.00 0.022391 
4915.00 0.019392 
4920.00 0.017020 
4925.00 0.014858 
4930.00 0.013184 
4935.00 0.011509 
4940.00 0.010254 
4945.00 0.009068 
4950.00 0.008161 
4955.00 0.007324 
4960.00 0.006557 
4965.00 0.005929 
4970.00 0.005301 
4975.00 0.004813 
4980.00 0.004395 
4985.00 0.003976 
4990.00 0.003697 
4995.00 0.003348 
5000.00 0.003069 
5005.00 0.002790 
5010.00 0.002651 
5015.00 0.002441 
5020.00 0.002232 
5025.00 0.002023 
5030.00 0.002023 
