Wavelength Filter
11000.0 -5.264626903619493e-05
10995.0 -1.7677043763998847e-05
10990.0 -6.852781382127112e-05
10985.0 -6.28589980290669e-05
10980.0 -7.718986912945235e-05
10975.0 -3.7716181883871655e-05
10970.0 -7.185200529945654e-05
10965.0 -6.42570375965506e-05
10960.0 -9.504639044281446e-06
10955.0 -3.9833504142961484e-05
10950.0 -7.02594120259051e-05
10945.0 -7.296118272542548e-05
10940.0 -4.4382396624742635e-05
10935.0 -1.5913048313659078e-05
10930.0 -3.979991527442513e-05
10925.0 -3.8167572867882914e-05
10920.0 -6.692762395217487e-05
10915.0 -3.973034365220173e-05
10910.0 -7.731236157274e-05
10905.0 -8.523761095001216e-05
10900.0 -5.7520900130300806e-05
10895.0 -6.323934914129569e-05
10890.0 -4.603059187072708e-05
10885.0 -0.00011474749070043285
10880.0 -6.715702198654688e-05
10875.0 -2.6529428900893072e-05
10870.0 -8.421543263016352e-05
10865.0 -8.774348736778044e-05
10860.0 -9.276376243445337e-05
10855.0 -7.019067028386727e-05
10850.0 -5.407505672850286e-05
10845.0 -4.5490744170526e-05
10840.0 -6.188562304782336e-05
10835.0 -4.218175652291975e-05
10830.0 -8.693398180471777e-05
10825.0 -8.57252825934181e-05
10820.0 -3.423760077270204e-05
10815.0 -5.691601323042827e-05
10810.0 -0.0001035542901867818
10805.0 -6.656191277757865e-05
10800.0 -2.7398813511191293e-06
10795.0 -5.624855549246187e-05
10790.0 -8.781532520127979e-05
10785.0 -3.699722901644184e-05
10780.0 -2.376259772272212e-05
10775.0 -0.0001120882247616989
10770.0 -0.00010901059281454344
10765.0 -1.3384009727121836e-05
10760.0 -4.132388384032389e-05
10755.0 -4.292546748255232e-05
10750.0 -5.245089608943119e-05
10745.0 -3.1706583241106904e-05
10740.0 -4.988925810688653e-05
10735.0 -5.473381136401037e-05
10730.0 -7.524323620135043e-05
10725.0 -7.391557685729656e-05
10720.0 -7.5101433084514e-05
10715.0 -4.5932868159131756e-05
10710.0 1.780759030088232e-05
10705.0 -6.344314856378982e-05
10700.0 -6.191448798299573e-05
10695.0 -5.7497684764084034e-05
10690.0 -8.216163876322783e-05
10685.0 -2.2261823244061004e-05
10680.0 -6.746821641664506e-05
10675.0 -8.755564717962415e-05
10670.0 -2.483308996465615e-05
10665.0 -4.5584967490056564e-05
10660.0 -7.836401127866582e-05
10655.0 -7.07701713616531e-05
10650.0 -7.028823440311923e-05
10645.0 -5.9748107037551394e-05
10640.0 -6.296302031848089e-05
10635.0 -1.6378249355117343e-05
10630.0 -6.718901493164945e-05
10625.0 -2.956306655872391e-05
10620.0 -5.5086904103990134e-05
10615.0 -8.857683602694384e-05
10610.0 -2.4005156805678063e-05
10605.0 -4.4252116075098124e-05
10600.0 -7.745785659245325e-05
10595.0 -4.18279934950978e-05
10590.0 -6.459147931133424e-05
10585.0 -4.7525801896349083e-05
10580.0 -6.926125767347968e-05
