Wavelength Filter
4000 1.337825555005142e-96
4010 5.9192629030608196e-95
4020 2.5344622729595106e-93
4030 1.0501566614939386e-91
4040 4.210875602426e-90
4050 1.6339576318058677e-88
4060 6.135630957572365e-87
4070 2.2296039661957524e-85
4080 7.840545616067156e-84
4090 2.6681786384124236e-82
4100 8.786857416931581e-81
4110 2.800285521625619e-79
4120 8.63616855633036e-78
4130 2.5774483111165574e-76
4140 7.444043091030794e-75
4150 2.0805485361301033e-73
4160 5.627258739399118e-72
4170 1.4728752904239467e-70
4180 3.730655335715798e-69
4190 9.144381544188442e-68
4200 2.169070203998973e-66
4210 4.979009307238565e-65
4220 1.1060183361446666e-63
4230 2.3775615857872858e-62
4240 4.945967780259007e-61
4250 9.956824445668793e-60
4260 1.939726398409769e-58
4270 3.656875392526515e-57
4280 6.671598574558239e-56
4290 1.1778763767388203e-54
4300 2.0124244059215049e-53
4310 3.3272811446827993e-52
4320 5.323649831480565e-51
4330 8.242890366599145e-50
4340 1.2350928996014831e-48
4350 1.790893605582462e-47
4360 2.5129856345811896e-46
4370 3.412402767525012e-45
4380 4.4841550862003525e-44
4390 5.702312614762029e-43
4400 7.017323214533511e-42
4410 8.356838271723032e-41
4420 9.63080465174341e-40
4430 1.0740715413652724e-38
4440 1.159188075255839e-37
4450 1.2106668736714838e-36
4460 1.2236169188777524e-35
4470 1.1967855768665683e-34
4480 1.132758368505587e-33
4490 1.0375481762935433e-32
4500 9.196642887013983e-32
4510 7.88860905265112e-31
4520 6.548194999159529e-30
4530 5.26008586264741e-29
4540 4.088971865189262e-28
4550 3.0759939054888298e-27
4560 2.239272147823841e-26
4570 1.5775326096211234e-25
4580 1.0754738917150846e-24
4590 7.095311353090674e-24
4600 4.5299468131873485e-23
4610 2.7987545169870383e-22
4620 1.6733491655196964e-21
4630 9.681851001705878e-21
4640 5.421010862621472e-20
4650 2.937326474199769e-19
4660 1.5401897225370145e-18
4670 7.81531130682605e-18
4680 3.83767684820583e-17
4690 1.82364618203332e-16
4700 8.3861537561265635e-16
4710 3.7319440068257615e-15
4720 1.6071539381024925e-14
4730 6.697764818635015e-14
4740 2.7011728157946866e-13
4750 1.054204598389416e-12
4760 3.9815071639489894e-12
4770 1.455191522865968e-11
4780 5.1468661027371116e-11
4790 1.7616338367630996e-10
4800 5.83496796732827e-10
4810 1.8703004068356524e-09
4820 5.801420160416833e-09
4830 1.741435248132749e-08
