wavl    dPA
Ang	    deg
4000    1.4284
4050    0.6987
4150    0.1297
4200    -0.0743
4250    -0.0613
4300    -0.1684
4350    -0.1243
4400    -0.1300
4450    -0.0663
4500    -0.0521
4550    0.1384
4600    0.1651
4650    0.1779
4700    -0.0178
4750    -0.1931
4800    -0.3148
4850    -0.3530
4900    -0.2983
4950    -0.1900
5000    0.1502
5100    0.4133
5200    0.8274
5300    0.4509
5400    -0.0402
5500    -0.4198
5600    -0.5389
5700    -0.4094
5800    -0.0553
5900    0.4243
6000    0.7955
6100    0.8499
6200    1.1888
6300    0.7542
6400    0.2782
6500    -0.1082
6600    -0.3373
6700    -0.4111
6800    -0.2646
6900    0.0028
7000    0.4319
7200    0.7809
7400    0.7730
7600    0.5587
7800    0.1493
8000    0.0800
8200    -0.2760
8400    -0.5597
8600    -0.4826
8800    -0.1390
9000    0.2200
9200    0.4526
9400    0.2945
9600    -0.0342
9800    -0.4483
10000   -0.4847

